provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
Parasitic,,hasParasite,http://purl.obolibrary.org/obo/RO_0002445
Pathogenic,,hasPathogen,http://purl.obolibrary.org/obo/RO_0002557
Neutralistic,,interactsWith,http://purl.obolibrary.org/obo/RO_0002434
Mutualistic,,interactsWith,http://purl.obolibrary.org/obo/RO_0002434
entomogenous,,interactsWith,http://purl.obolibrary.org/obo/RO_0002434
Trophic,,interactsWith,http://purl.obolibrary.org/obo/RO_0002434

